"ENTRY","BLUP","condSD"
"TMS18F1295P0030",-0.4011,14.9622
"TMS18F1338P0085",-0.4073,14.9677
"TMS18F1040P0032",-0.4345,14.9655
"TMS18F1138P0030",-0.4493,14.963
"TMS18F1217P0091",-0.4918,14.9672
"TMS18F1132P0042",-0.5049,14.9664
"TMS18F1262P0015",-0.5201,14.9603
"TMS18F1355P0089",-0.5424,16.596
"TMS18F1060P0067",-0.5823,14.9653
"TMS18F1310P0168",-0.5945,14.9609
"TMS18F1217P0034",-0.6139,14.964
"TMS18F1350P0026",-0.623,14.9731
"TMS13F1020P0001",-0.6595,14.9694
"TMS18F1076P0103",-0.6778,14.9637
"TMS18F1003P0010",-0.7405,14.9685
"TMS18F1343P0012",-0.7865,14.9703
"TMS18F1348P0098",-0.8167,14.9648
"TMS18F1312P0039",-0.849,14.9666
"TMS18F1083P0028",-0.8611,14.9616
"TMS18F1355p0030",-0.8695,14.9666
"TMS18F1051P0063",-0.8775,14.9649
"TMS18F1320P0101",-0.9329,14.9621
"TMS18F1047P0049",-0.9602,16.5989
"TMS18F1396P0017",-0.9807,14.9694
"TMS18F1025P0041",-1.025,14.9673
"TMS18F1056P0066",-1.0875,16.597
"TMS18F1114P0039",-1.1057,14.9694
"TMS18F1152P0003",-1.1141,20.7752
"TMS18F1353P0023",-1.2759,14.9664
"TMS18F1047P0046",-1.3247,14.9604
"TMS18F1343P0019",-1.365,14.9632
"TMS18F1343P0153",-1.3654,14.9639
"TMS18F1217P0114",-1.4397,20.781
"TMS18F1076P0106",-1.4799,14.9639
"TMS18F1348P0117",-1.4849,14.9701
"TMS18F1324P0070",-1.4897,14.9633
"TMS18F1318P0007",-1.5292,14.9652
"TMS18F1314P0007",-1.5312,14.9701
"TMS18F1520P0039",-1.5456,24.0807
"TMS18F1367P0030",-1.5533,14.9681
"TMS18F1217P0075",-1.5921,14.9637
"TMS18F1076P0077",-1.6309,14.9658
"TMS18F1447P0062",-1.6705,14.9713
"TMS18F1225P0030",-1.6757,16.5979
"TMS18F1408P0006",-1.6935,14.9663
"TMS18F1107P0020",-1.6975,14.9649
"TMS18F1038P0087",-1.7016,14.9713
"TMS18F1365P0005",-1.7483,14.9652
"TMS18F1318P0018",-1.7548,14.9668
"TMS18F1261P0005",-1.7809,14.9659
"TMS18F1056P0019",-1.7984,20.773
"TMS18F1081P0014",-1.8671,14.9646
"TMS18F1328P0027",-1.8716,14.969
"TMS18F1153P0053",-1.8739,16.6021
"TMS18F1395P0038",-1.8741,14.963
"TMS18F1038P0056",-1.8748,14.9669
"TMS18F1324P0093",-1.8931,14.9605
"TMS18F1314P0026",-1.8993,14.9665
"TMS18F1370P0008",-1.9145,14.9678
"TMS18F1208P0007",-1.9268,14.9622
"TMS18F1324P0200",-1.928,14.9651
"TMS18F1320P0082",-1.9559,14.9665
"TMS18F1280P0057",-1.9752,14.9654
"TMEB419",-1.9797,9.8097
"TMS18F1041P0005",-1.9971,14.9632
"TMS18F1485P0020",-2.0181,14.9648
"TMS18F1280P0126",-2.0755,14.9616
"TMS18F1295P0035",-2.0799,14.9688
"TMS18F1369P0010",-2.0846,14.9686
"TMS18F1320P0086",-2.1093,16.6038
"TMS18F1324P0003",-2.1256,14.9631
"TMS18F1005P0023",-2.1493,14.9655
"TMS18F1305P0017",-2.1508,14.9639
"TMS18F1369P0014",-2.1557,14.9679
"TMS18F1348P0051",-2.1625,12.3792
"TMS18F1165P0008",-2.1751,14.9623
"TMS18F1096P0024",-2.1797,14.9648
"TMS18F1388P0012",-2.2096,14.9684
"TMS18F1224P0014",-2.3383,14.9667
"TMS18F1278P0180",-2.3489,14.9637
"TMS18F1484P0036",-2.3559,14.965
"TMS18F1365P0018",-2.3709,14.9704
"TMS18F1120P0004",-2.3904,14.9685
"TMS18F1348P0088",-2.4278,14.9629
"TMS18F1138P0037",-2.5696,14.9689
"TMS18F1323P0024",-2.5816,14.9613
"TMS18F1191P0002",-2.5876,14.9655
"TMS18F1372P0001",-2.7036,14.965
"TMS18F1272P0037",-2.756,14.9613
"TMS18F1343P0171",-2.8067,14.9641
"TMS18F1222P0012",-2.8142,14.9675
"TMS18F1324P0046",-2.8203,14.9669
"TMS18F1020P0027",-2.874,14.9679
"TMS18F1353P0038",-2.8748,16.5975
"TMS18F1121P0029",-2.9484,14.9672
"TMS18F1284P0003",-2.9581,14.965
"TMS18F1317P0048",-2.9618,14.9663
"TMS18F1280P0151",-2.9733,14.9664
"TMS18F1324P0171",-2.977,18.6333
"TMS18F1298P0044",-2.9892,14.9637
"TMS18F1268P0019",-3.057,20.7751
"TMS18F1295P0023",-3.0704,14.965
"TMS18F1389P0021",-3.1173,14.962
"TMS18F1076P0121",-3.1228,14.9712
"TMS18F1481P0009",-3.1799,14.9625
"TMS18F1277P0007",-3.1982,14.9688
"TMS18F1308P0084",-3.2196,14.9653
"TMS18F1180P0033",-3.3267,14.9649
"TMS18F1371P0001",-3.353,14.9626
"TMS18F1350P0056",-3.3578,16.599
"TMS18F1322P0019",-3.3816,16.5999
"TMS18F1337P0049",-3.4264,14.9656
"TMS18F1365P0024",-3.4956,14.9713
"TMS18F1349P0123",-3.4971,14.9671
"TMS18F1505P0047",-3.527,14.9671
"TMS18F1001P0020",-3.5994,14.9759
"TMS18F1348P0039",-3.6905,14.9665
"TMS18F1326P0007",-3.6935,14.966
"TMS18F1318P0016",-3.7022,14.9675
"TMS18F1562P0055",-3.778,14.9685
"TMS18F1324p0026",-3.7805,14.9636
"TMS18F1258P0062",-3.789,16.6013
"TMS18F1278P0068",-3.7922,14.9685
"TMS18F1328P0032",-3.8526,14.9701
"TMS18F1069P0033",-3.8578,14.9639
"TMS18F1320P0051",-3.9071,14.969
"TMS18F1076P0001",-3.9084,16.6031
"TMS18F1055P0044",-4.0293,14.964
"TMS18F1132P0083",-4.0985,14.9649
"TMS18F1016P0010",-4.1285,14.9641
"TMS18F1132P0078",-4.1397,14.9678
"TMS18F1149P0024",-4.1488,14.967
"TMS18F1355p0038",-4.1546,14.9676
"TMS18F1271P0001",-4.1678,14.9641
"TMS18F1174P0011",-4.1689,14.9692
"TMS18F1262P0008",-4.1911,14.9657
"TMS18F1264P0058",-4.2197,14.9623
"TMS18F1090P0031",-4.2706,18.6345
"TMS18F1278P0165",-4.421,14.9633
"TMS18F1327P0006",-4.4591,14.9628
"TMS18F1409P0008",-4.4737,14.9678
"TMS18F1325P0032",-4.487,14.9609
"TMS18F1447P0045",-4.497,14.9634
"TMS18F1489P0038",-4.5655,14.9685
"TMS18F1539P0073",-4.5813,20.7736
"TMS18F1389P0031",-4.5933,16.6015
"IITA-TMS-IBA30572",-4.6373,9.7648
"TMS18F1350P0091",-4.7108,14.9604
"TMS18F1361P0041",-4.7183,14.9637
"TMS18F1250P0050",-4.8275,14.9688
"TMS18F1319P0121",-4.9616,14.9666
"TMS18F1436P0053",-4.9991,14.9681
"TMS18F1042P0009",-5.1532,16.6002
"TMS18F1296P0042",-5.1816,14.9649
"TMS18F1056P0016",-5.368,14.9641
"TMS18F1323P0002",-5.3895,14.9677
"TMS18F1348P0131",-5.4084,12.3836
"TMS18F1068P0077",-5.5561,16.6002
"TMS18F1329P0011",-5.5625,14.962
