trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1489P0038_1155,TMS18F1489P0038,1155,7,,1,7,5,0,3,91,5,15,11.44,3,78.57,20.472,1,20.79,10.35,32,90,13.8,3.7,27.72,0.33,26.84,31
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA982101_1156,IITA-TMS-IBA982101,1156,7,1,1,7,6,0,1,116,5,45,13.03,3,78.32,21.562,2,36.85,22.02,65,101,29.36,8.23,49.13,0.37,28.04,54
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1350P0056_1157,TMS18F1350P0056,1157,7,,1,7,7,,,,,,,,,,,,,,,,,,,,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1366P0014_1158,TMS18F1366P0014,1158,7,,1,7,8,0,2,102,5,28,13.92,3,85.23,20.914,1,26.4,12.7,56,92,16.93,4.86,35.2,0.32,28.71,55.4
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1028P0003_1159,TMS18F1028P0003,1159,7,,1,7,9,1,1,148,9,59,17.32,3,76.99,21.358,2,33.05,22.94,87,123,30.59,9.56,44.07,0.41,31.26,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0157_1160,TMS18F1348P0157,1160,7,,1,7,10,0,1,114,9,94,23.05,3,73.32,17.808,2,19.7,22.9,86.8,104,30.53,10.86,26.27,0.54,35.56,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1349P0157_1161,TMS18F1349P0157,1161,7,,1,7,11,3,2,144,9,61,14.58,3,78.22,24.504,2,22.5,22.05,89,132,29.4,8.58,30,0.49,29.2,84
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1562P0055_1162,TMS18F1562P0055,1162,7,,1,7,12,2,2,106,5,28,11.93,2,75.77,16.784,2,16.4,10.1,43,102,13.47,3.66,21.87,0.38,27.21,42.6
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1306P0114_1163,TMS18F1306P0114,1163,7,,1,7,13,2,3,108,6,40,12.75,2,104.08,20.814,2,29.7,19.4,29,89,25.87,7.2,39.6,0.4,27.83,30
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1335P0035_1164,TMS18F1335P0035,1164,7,,1,7,14,1,2,151,5,30,7.13,3,71.42,24.798,1,28.5,13.56,71,127,18.08,4.27,38,0.32,23.61,63
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1295P0023_1165,TMS18F1295P0023,1165,7,,1,7,15,0,,,3,12,15.15,,,,4,25.3,7.2,,,9.6,2.84,33.73,0.22,29.63,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1224P0014_1166,TMS18F1224P0014,1166,7,,1,7,16,1,3,144,6,29,15.01,3,85.41,24.428,2,28.1,14.8,39,119,19.73,5.83,37.47,0.34,29.53,40
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1317P0123_1167,TMS18F1317P0123,1167,7,,1,7,17,1,2,176,7,62,14.69,3,72.52,22,2,37.29,18,79,159,24,7.03,49.72,0.33,29.28,74
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1353p0017_1168,TMS18F1353p0017,1168,7,,1,7,18,0,,127,7,28,19.23,3,94.52,22.52,1,21.15,15.1,,110,20.13,6.58,28.2,0.42,32.69,
