trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,NOHAV,RTNO,SHTWT,RTWT,DM,STARCH,FYLD,DYLD,TYLD,HI,NDVI3,NDVI6,NDVI9,LODG,PLTHT3,BRNHT3,BRNLEV3,PLTHT6,BRNHT6,BRNLEV6,PLTHT9,BRNHT9,BRNLEV9,CHL3,CHL6,CHL9,CHL12,ANGBR9,STMDI9,PPSTD9
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1250P0050_1031,TMS18F1250P0050,1031,2,,1,2,20,6,52,5.7,18.27,31.59,17.76,18.27,5.77,5.7,0.76,0.75,0.86,0.86,,81,,,119,,,152,80,2.4,45.5,44.27,44.83,43.27,92.19,20.85,2.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1026P0009_1032,TMS18F1026P0009,1032,2,,1,2,19,7,62,37.45,27.2,33.63,20.48,27.2,9.15,37.45,0.42,0.85,0.91,0.87,2,121,91,2.6,151,108,2.8,240,128,2.6,43.73,47.2,43.1,44.4,90.62,31.01,2.4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1338P0013_1033,TMS18F1338P0013,1033,2,,1,2,18,9,58,14.3,20.35,29.48,14.95,20.35,6,14.3,0.59,0.86,0.86,0.76,,95,44,2.6,133,,,198,97,3,46.53,46.8,46.9,46.43,,27.95,3.4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1421P0025_1034,TMS18F1421P0025,1034,2,,1,2,17,3,14,8.65,5.15,,,5.15,,8.65,0.37,0.8,0.85,0.8,2,74,,,,,,,,,40.37,45.17,50.6,47.73,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1174P0011_1035,TMS18F1174P0011,1035,2,,1,2,16,5,31,14.24,17.8,34.05,21.04,17.8,6.06,14.24,0.56,0.84,0.84,0.89,2,112,,,138,100,2.4,194,106,2.4,50.23,46.9,48.47,50.1,101.35,27.11,3.4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1064P0027_1036,TMS18F1064P0027,1036,2,,1,2,15,8,52,20.25,38.05,31.06,17.06,38.05,11.82,20.25,0.65,0.81,0.87,0.85,,86,,,131,,,196,,,47.57,44.7,46.93,50.13,62.02,25.5,4.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1324P0171_1037,TMS18F1324P0171,1037,2,,1,2,14,1,14,3.45,9.5,28.43,13.55,9.5,2.7,3.45,0.73,0.81,0.86,0.85,,,,,,,,,,,47.73,,,,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1277P0045_1038,TMS18F1277P0045,1038,2,,1,2,13,7,52,38.65,26.05,32.3,18.71,26.05,8.42,38.65,0.4,0.76,0.87,0.86,,118,,,188,,,253,129,3,47.7,47,47.93,45.37,89.23,41.14,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA982101_1039,IITA-TMS-IBA982101,1039,2,1,1,2,12,7,46,16.78,16.15,35.06,22.38,16.15,5.66,16.78,0.49,0.84,0.88,0.81,,95,,,130,,,218,92,2.4,43.43,42.03,38.1,32.3,106.92,29.11,2.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1286P0012_1040,TMS18F1286P0012,1040,2,,1,2,11,8,58,24.55,35.4,35.3,22.71,35.4,12.5,24.55,0.59,0.78,0.89,0.83,,115,,,169,,,258,,,51.73,49.23,48.97,48.53,88.67,24.82,3
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1366P0012_1041,TMS18F1366P0012,1041,2,,1,2,10,9,71,28.85,48.08,29.53,15.02,48.08,14.2,28.85,0.62,0.8,0.85,0.85,,113,,,150,86,2,223,121,2.2,46.47,44.63,43.7,41.93,94.41,26.21,2.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1280P0091_1042,TMS18F1280P0091,1042,2,,1,2,9,9,100,27.98,27.45,36.6,24.43,27.45,10.05,27.98,0.5,0.86,0.89,0.79,,127,,,182,138,3,216,128,2.4,46.47,49.17,45.27,44.43,90.57,29.52,1.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1396P0053_1043,TMS18F1396P0053,1043,2,,1,2,8,9,50,11.12,20.13,34.03,21.01,20.13,6.85,11.12,0.64,0.81,0.85,0.82,,99,,,133,,,170,,,47.5,47.1,47,46.9,81.15,20.23,2.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA980581_1044,IITA-TMS-IBA980581,1044,2,1,1,2,7,6,52,21.5,24.6,29.67,15.21,24.6,7.3,21.5,0.53,0.82,0.8,0.84,1,114,,,168,,,,,,44.77,43.37,44.13,40.6,0,29.39,2.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1520P0039_1045,TMS18F1520P0039,1045,2,,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1354P0027_1046,TMS18F1354P0027,1046,2,,1,2,5,8,88,29.45,36.8,40.07,29.05,36.8,14.75,29.45,0.56,0.8,0.9,0.85,,114,77,2.8,152,97,2.2,227,103,2.4,49.63,50.5,50.87,45.23,82.88,24.11,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1355p0038_1047,TMS18F1355p0038,1047,2,,1,2,4,5,22,11.7,7.05,34.43,21.54,7.05,2.43,11.7,0.38,0.85,0.88,0.87,2,119,,,153,102,2,159,106,2,48.6,49.13,49.07,50.87,89.44,28.07,2.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1069P0023_1048,TMS18F1069P0023,1048,2,,1,2,3,8,58,21.85,29.28,36.56,24.38,29.28,10.71,21.85,0.57,0.82,0.88,0.78,,111,,,160,,,251,,,53.13,48.47,48.5,46.1,0,21.39,3.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1163P0042_1049,TMS18F1163P0042,1049,2,,1,2,2,8,64,18.85,34.26,35.03,22.34,34.26,12,18.85,0.65,0.84,0.85,0.89,,72,57,2.8,98,69,2.2,150,81,2.2,48.53,45.97,49.13,44.3,79.38,22.05,2.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1365P0018_1050,TMS18F1365P0018,1050,2,,1,2,1,4,44,12.5,19.5,35.81,23.38,19.5,6.98,12.5,0.61,0.77,0.88,0.85,1,83,,,151,,,,,,45.33,44.23,38.73,39.63,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1319P0033_1051,TMS18F1319P0033,1051,3,,1,3,1,10,68,12.85,29.8,35.17,22.53,29.8,10.48,12.85,0.7,0.76,0.89,0.63,,85,,,127,,,156,121,2.2,51.27,45.57,48.6,44.83,85.15,23.21,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1004P0008_1052,TMS18F1004P0008,1052,3,,1,3,2,7,37,13.35,25.85,37.25,25.29,25.85,9.63,13.35,0.66,0.81,0.87,0.84,,99,,,129,,,195,,,53.7,49.87,48.5,51.43,0,22.3,3.4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1336P0015_1053,TMS18F1336P0015,1053,3,,1,3,3,11,114,27.9,43.5,33.6,20.43,43.5,14.61,27.9,0.61,0.82,0.89,0.87,,114,,,167,,,244,,,51.23,52.2,50.37,48.63,0,20.41,3.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0156_1054,TMS18F1348P0156,1054,3,,1,3,4,7,58,24.95,32.15,37.31,25.38,32.15,12,24.95,0.56,0.8,0.86,0.8,1,129,,,174,,,251,187,3,47.37,46.63,47.93,46.47,96.75,28.03,4.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1068P0063_1055,TMS18F1068P0063,1055,3,,1,3,5,1,13,4.7,4.15,,,4.15,,4.7,0.47,0.81,0.89,0.81,2,,,,,,,,,,48.1,47.4,46.8,,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA000070_1056,IITA-TMS-IBA000070,1056,3,1,1,3,6,9,61,27.65,39.5,33.63,20.48,39.5,13.28,27.65,0.59,0.81,8.6,0.77,4,132,,,183,,,228,,,54.73,52.7,50.57,52.63,86.54,27.36,1.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0051_1057,TMS18F1348P0051,1057,3,,1,3,7,5,27,6.4,13.15,31.45,17.57,13.15,4.14,6.4,0.67,0.75,0.86,0.77,1,83,,,114,,,172,,,44.77,44.03,43,43.07,94.25,22.18,1.4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1280P0151_1058,TMS18F1280P0151,1058,3,,1,3,8,7,38,11.85,20.1,31,16.98,20.1,6.23,11.85,0.63,0.78,0.87,0.74,4,111,,,154,,,180,,,52,48.67,49.63,48.77,100.88,22.01,2.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1215P0027_1059,TMS18F1215P0027,1059,3,,1,3,9,2,10,1.95,2.2,,,2.2,,1.95,0.53,0.77,0.8,0.82,1,,,,,,,,,,,,,,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1041P0005_1060,TMS18F1041P0005,1060,3,,1,3,10,7,97,14.39,29.55,38.52,26.99,29.55,11.38,14.39,0.67,0.8,0.85,0.77,2,103,81,3,121,,,165,103,2.4,46.77,44.87,48.8,49,103.7,23.71,3.4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1073P0038_1061,TMS18F1073P0038,1061,3,,1,3,11,2,9,11.45,4.95,,,4.95,,11.45,0.3,0.83,0.88,0.88,1,,,,,,,,,,,,,,,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA30572_1062,IITA-TMS-IBA30572,1062,3,1,1,3,12,6,47,20.45,26.55,36.01,23.65,26.55,9.56,20.45,0.56,0.8,0.84,0.74,2,115,,,141,77,2.8,257,185,2.8,49.43,45.33,45.37,45.43,81.98,29.22,2.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1058P0019_1063,TMS18F1058P0019,1063,3,,1,3,13,6,43,20.36,13.95,32.24,18.63,13.95,4.5,20.36,0.41,0.83,0.88,0.9,3,105,,,136,80,2.8,201,79,2.8,49.07,48.83,49.4,46.07,99.36,33.04,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1127P0011_1064,TMS18F1127P0011,1064,3,,1,3,14,8,67,17.7,23.6,32.83,19.41,23.6,7.75,17.7,0.57,0.76,0.89,0.89,,114,75,3,133,73,2.8,180,84,2.6,47.13,48.17,49.07,44.97,88.95,26.33,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1132P0042_1065,TMS18F1132P0042,1065,3,,1,3,15,10,94,33.45,31.95,35.96,23.58,31.95,11.49,33.45,0.49,0.79,0.87,0.84,2,139,,,166,,,250,136,2.6,42.93,40.9,41.3,45.03,84.42,25.42,2.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1345P0043_1066,TMS18F1345P0043,1066,3,,1,3,16,7,51,20.15,22.05,37.83,26.06,22.05,8.34,20.15,0.52,0.82,0.89,0.9,1,91,,,138,,,231,128,2.2,49.77,48.83,50.87,49.2,94.92,23.06,2.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1472P0042_1067,TMS18F1472P0042,1067,3,,1,3,17,6,56,40.19,28.6,32.47,18.93,28.6,9.29,40.19,0.42,0.84,0.91,0.88,3,120,81,3,158,86,2.6,243,99,2.4,52.6,50.2,50.53,50.33,98.22,32.25,1.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1481P0009_1068,TMS18F1481P0009,1068,3,,1,3,18,9,58,8.4,21.45,33.47,20.27,21.45,7.18,8.4,0.72,0.79,0.85,0.86,,99,,,128,,,161,,,48.2,44.23,47.77,48.37,0,18.05,2.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1113P0038_1069,TMS18F1113P0038,1069,3,,1,3,19,12,94,41.7,34.55,37.28,25.34,34.55,12.88,41.7,0.45,0.83,0.9,0.88,,110,,,160,,,232,165,2.4,44.77,45.67,46.23,46.17,90.75,25.56,2.8
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1209P0015_1070,TMS18F1209P0015,1070,3,,1,3,20,8,64,17.8,27.49,33.18,19.88,27.49,9.12,17.8,0.61,0.83,0.89,0.81,,132,,,172,,,231,,,51.83,45.73,49.87,52.3,86.16,27.92,2.4
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1424P0021_1071,TMS18F1424P0021,1071,3,,1,3,21,7,72,24.45,34.15,34.81,22.05,34.15,11.89,24.45,0.58,0.85,0.88,0.86,2,123,89,2.8,174,76,2.6,250,102,3,47.9,47.9,46.77,50.07,91.91,31.95,2.2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1317P0119_1072,TMS18F1317P0119,1072,3,,1,3,22,4,32,5.15,5.5,,,5.5,,5.15,0.52,0.58,0.86,0.83,,73,,,126,28,0.4,193,,,44.43,47.5,50.4,43.5,75.01,19.09,2.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1344P0003_1073,TMS18F1344P0003,1073,3,,1,3,23,8,67,14.55,17.49,36.77,24.65,17.49,6.43,14.55,0.55,0.82,0.86,0.79,,125,,,172,0,0,230,,,52.63,48.13,50.67,45.17,86.53,23.69,2.6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1339P0012_1074,TMS18F1339P0012,1074,3,,1,3,24,7,60,14.32,19,37.67,25.86,19,7.16,14.32,0.57,0.85,0.89,0.83,,100,62,3,142,79,2.6,191,,,46.43,46.83,45.73,42.4,90.23,24.6,2
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA980581_1075,IITA-TMS-IBA980581,1075,3,1,1,3,25,8,77,30.15,40.5,30.95,16.91,40.5,12.54,30.15,0.57,0.8,0.85,0.82,,115,,,173,0,0,236,,,41.63,41.9,43.77,40.23,3.41,29.24,2.4
