trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,NOHAV,RTNO,SHTWT,RTWT,DM,STARCH,FYLD,DYLD,TYLD,HI,NDVI3,NDVI6,NDVI9,LODG,PLTHTIII,BRNHTIII,BRNLEVIII,PLTHTVI,BRNHTVI,BRNLEVVI,PLTHTIX,BRNHTIX,BRNLEVIX,CHL3,CHL6,CHL9,ANGBR9,STMDI9,PPSTD9
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1343P0012_1143,TMS18F1343P0012,1143,6,,1,6,8,6,56,18.3,24.95,29.94,15.57,33.27,9.96,24.4,0.58,0.78,0.52,0.65,0,77,,,96,76,1,103,78,1,50.07,48.1,39.1,63.91,18.326,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1217P0114_1144,TMS18F1217P0114,1144,6,,1,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.118,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1388P0012_1145,TMS18F1388P0012,1145,6,,1,6,6,5,18,21.15,6.9,26.39,10.84,9.2,2.43,28.2,0.25,0.75,0.68,0.64,0,,,,,,,,,,50.63,44.93,39.83,,,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1076P0114_1146,TMS18F1076P0114,1146,6,,1,6,5,1,7,6.52,3.8,,,5.07,,8.69,0.37,0.78,0.61,0.61,0,,,,,,,,,,51.57,,,,,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1328P0027_1147,TMS18F1328P0027,1147,6,,1,6,4,4,20,13.72,12.65,28.45,13.57,16.87,4.8,18.29,0.48,0.73,0.64,0.74,0,78,,,98,,,,,,58.47,50.47,46.73,,,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1317P0048_1148,TMS18F1317P0048,1148,6,,1,6,3,5,21,33.84,8.85,34.14,21.15,11.8,4.03,45.12,0.21,0.85,0.57,0.6,1,71,26.4,2,96,28,3,121,26,3,49.73,43.63,40.37,81.62,19.822,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1278P0098_1149,TMS18F1278P0098,1149,6,,1,6,2,9,36,28.25,19.25,32.13,18.48,25.67,8.25,37.67,0.41,0.82,0.66,0.59,0,81,,,105,76,1,126,79,2,47.53,46.33,40.8,84.05,21.362,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1134P0010_1150,TMS18F1134P0010,1150,6,,1,6,1,7,63,48.4,20.9,28.15,13.18,27.87,7.85,64.53,0.3,0.88,0.52,0.57,0,93,33,2,118,41,2,127,28,3,48.23,48,47.07,71.27,17.288,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1409P0008_1151,TMS18F1409P0008,1151,7,,1,7,1,4,28,18.2,11.65,29.73,15.29,15.53,4.62,24.27,0.39,0.88,0.67,0.56,1,74,50,1,101,46,2,111,48,2,50.7,43.7,43.07,66.15,22.734,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1278P0068_1152,TMS18F1278P0068,1152,7,,1,7,2,5,18,20.45,10.95,31.45,17.57,14.6,4.59,27.27,0.35,0.84,0.64,0.64,0,92,,,125,,,147,,,51.5,53.2,51.37,34.05,24.732,2
