ENV,ENTRY,BLK,REP,NOHAV,RTNO,SHTWT,RTWT,DM,STARCH,FYLD,DYLD,TYLD,HI,NDVI3,NDVI6,NDVI9,LODG,PLTHTIII,BRNHTIII,BRNLEVIII,PLTHTVI,BRNHTVI,BRNLEVVI,PLTHTIX,BRNHTIX,BRNLEVIX,CHL3,CHL6,CHL9,CHL12,ANGBR9,STMDI9,PPSTD9
onne,TMS18F1277P0045,2,1,7,52,38.65,26.05,32.3,18.71,26.05,8.42,38.65,0.4,0.76,0.87,0.86,,118.00,,,188.00,,,253.00,129.00,3.00,47.70,47.00,47.93,45.37,89.23,41.14,2.00
onne,IITA-TMS-IBA982101,2,1,7,46,16.78,16.15,35.06,22.38,16.15,5.66,16.78,0.49,0.84,0.88,0.81,,95.00,,,130.00,,,218.00,92.00,2.40,43.43,42.03,38.10,32.30,106.92,29.11,2.20
onne,TMS18F1286P0012,2,1,8,58,24.55,35.4,35.3,22.71,35.4,12.5,24.55,0.59,0.78,0.89,0.83,,115.00,,,169.00,,,258.00,,,51.73,49.23,48.97,48.53,88.67,24.82,3.00
onne,TMS18F1366P0012,2,1,9,71,28.85,48.08,29.53,15.02,48.08,14.2,28.85,0.62,0.8,0.85,0.85,,113.00,,,150.00,86.00,2.00,223.00,121.00,2.20,46.47,44.63,43.70,41.93,94.41,26.21,2.60
onne,TMS18F1280P0091,2,1,9,100,27.98,27.45,36.6,24.43,27.45,10.05,27.98,0.5,0.86,0.89,0.79,,127.00,,,182.00,138.00,3.00,216.00,128.00,2.40,46.47,49.17,45.27,44.43,90.57,29.52,1.80
onne,TMS18F1396P0053,2,1,9,50,11.12,20.13,34.03,21.01,20.13,6.85,11.12,0.64,0.81,0.85,0.82,,99.00,,,133.00,,,170.00,,,47.50,47.10,47.00,46.90,81.15,20.23,2.80
onne,IITA-TMS-IBA980581,2,1,6,52,21.5,24.6,29.67,15.21,24.6,7.3,21.5,0.53,0.82,0.8,0.84,1,114.00,,,168.00,,,,,,44.77,43.37,44.13,40.60,0.00,29.39,2.60
onne,TMS18F1520P0039,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
onne,TMS18F1354P0027,2,1,8,88,29.45,36.8,40.07,29.05,36.8,14.75,29.45,0.56,0.8,0.9,0.85,,114.00,77.00,2.80,152.00,97.00,2.20,227.00,103.00,2.40,49.63,50.50,50.87,45.23,82.88,24.11,2.00
onne,TMS18F1355p0038,2,1,5,22,11.7,7.05,34.43,21.54,7.05,2.43,11.7,0.38,0.85,0.88,0.87,2,119.00,,,153.00,102.00,2.00,159.00,106.00,2.00,48.60,49.13,49.07,50.87,89.44,28.07,2.60
onne,TMS18F1069P0023,2,1,8,58,21.85,29.28,36.56,24.38,29.28,10.71,21.85,0.57,0.82,0.88,0.78,,111.00,,,160.00,,,251.00,,,53.13,48.47,48.50,46.10,0.00,21.39,3.60
onne,TMS18F1163P0042,2,1,8,64,18.85,34.26,35.03,22.34,34.26,12,18.85,0.65,0.84,0.85,0.89,,72.00,57.00,2.80,98.00,69.00,2.20,150.00,81.00,2.20,48.53,45.97,49.13,44.30,79.38,22.05,2.80
onne,TMS18F1365P0018,2,1,4,44,12.5,19.5,35.81,23.38,19.5,6.98,12.5,0.61,0.77,0.88,0.85,1,83.00,,,151.00,,,,,,45.33,44.23,38.73,39.63,,,
onne,TMS18F1319P0033,3,1,10,68,12.85,29.8,35.17,22.53,29.8,10.48,12.85,0.7,0.76,0.89,0.63,,85.00,,,127.00,,,156.00,121.00,2.20,51.27,45.57,48.60,44.83,85.15,23.21,2.00
onne,TMS18F1004P0008,3,1,7,37,13.35,25.85,37.25,25.29,25.85,9.63,13.35,0.66,0.81,0.87,0.84,,99.00,,,129.00,,,195.00,,,53.70,49.87,48.50,51.43,0.00,22.30,3.40
onne,TMS18F1336P0015,3,1,11,114,27.9,43.5,33.6,20.43,43.5,14.61,27.9,0.61,0.82,0.89,0.87,,114.00,,,167.00,,,244.00,,,51.23,52.20,50.37,48.63,0.00,20.41,3.60
onne,TMS18F1348P0156,3,1,7,58,24.95,32.15,37.31,25.38,32.15,12,24.95,0.56,0.8,0.86,0.8,1,129.00,,,174.00,,,251.00,187.00,3.00,47.37,46.63,47.93,46.47,96.75,28.03,4.60
onne,TMS18F1068P0063,3,1,1,13,4.7,4.15,,,4.15,,4.7,0.47,0.81,0.89,0.81,2,,,,,,,,,,48.10,47.40,46.80,,,,
onne,IITA-TMS-IBA000070,3,1,9,61,27.65,39.5,33.63,20.48,39.5,13.28,27.65,0.59,0.81,8.6,0.77,4,132.00,,,183.00,,,228.00,,,54.73,52.70,50.57,52.63,86.54,27.36,1.80
onne,TMS18F1348P0051,3,1,5,27,6.4,13.15,31.45,17.57,13.15,4.14,6.4,0.67,0.75,0.86,0.77,1,83.00,,,114.00,,,172.00,,,44.77,44.03,43.00,43.07,94.25,22.18,1.40
onne,TMS18F1280P0151,3,1,7,38,11.85,20.1,31,16.98,20.1,6.23,11.85,0.63,0.78,0.87,0.74,4,111.00,,,154.00,,,180.00,,,52.00,48.67,49.63,48.77,100.88,22.01,2.60
onne,TMS18F1215P0027,3,1,2,10,1.95,2.2,,,2.2,,1.95,0.53,0.77,0.8,0.82,1,,,,,,,,,,,,,,,,
onne,TMS18F1041P0005,3,1,7,97,14.39,29.55,38.52,26.99,29.55,11.38,14.39,0.67,0.8,0.85,0.77,2,103.00,81.00,3.00,121.00,,,165.00,103.00,2.40,46.77,44.87,48.80,49.00,103.70,23.71,3.40
onne,TMS18F1073P0038,3,1,2,9,11.45,4.95,,,4.95,,11.45,0.3,0.83,0.88,0.88,1,,,,,,,,,,,,,,,,
onne,IITA-TMS-IBA30572,3,1,6,47,20.45,26.55,36.01,23.65,26.55,9.56,20.45,0.56,0.8,0.84,0.74,2,115.00,,,141.00,77.00,2.80,257.00,185.00,2.80,49.43,45.33,45.37,45.43,81.98,29.22,2.60
onne,TMS18F1058P0019,3,1,6,43,20.36,13.95,32.24,18.63,13.95,4.5,20.36,0.41,0.83,0.88,0.9,3,105.00,,,136.00,80.00,2.80,201.00,79.00,2.80,49.07,48.83,49.40,46.07,99.36,33.04,2.00
onne,TMS18F1127P0011,3,1,8,67,17.7,23.6,32.83,19.41,23.6,7.75,17.7,0.57,0.76,0.89,0.89,,114.00,75.00,3.00,133.00,73.00,2.80,180.00,84.00,2.60,47.13,48.17,49.07,44.97,88.95,26.33,2.00
onne,TMS18F1132P0042,3,1,10,94,33.45,31.95,35.96,23.58,31.95,11.49,33.45,0.49,0.79,0.87,0.84,2,139.00,,,166.00,,,250.00,136.00,2.60,42.93,40.90,41.30,45.03,84.42,25.42,2.80
onne,TMS18F1345P0043,3,1,7,51,20.15,22.05,37.83,26.06,22.05,8.34,20.15,0.52,0.82,0.89,0.9,1,91.00,,,138.00,,,231.00,128.00,2.20,49.77,48.83,50.87,49.20,94.92,23.06,2.60
onne,TMS18F1472P0042,3,1,6,56,40.19,28.6,32.47,18.93,28.6,9.29,40.19,0.42,0.84,0.91,0.88,3,120.00,81.00,3.00,158.00,86.00,2.60,243.00,99.00,2.40,52.60,50.20,50.53,50.33,98.22,32.25,1.80
onne,TMS18F1481P0009,3,1,9,58,8.4,21.45,33.47,20.27,21.45,7.18,8.4,0.72,0.79,0.85,0.86,,99.00,,,128.00,,,161.00,,,48.20,44.23,47.77,48.37,0.00,18.05,2.80
onne,TMS18F1113P0038,3,1,12,94,41.7,34.55,37.28,25.34,34.55,12.88,41.7,0.45,0.83,0.9,0.88,,110.00,,,160.00,,,232.00,165.00,2.40,44.77,45.67,46.23,46.17,90.75,25.56,2.80
onne,TMS18F1209P0015,3,1,8,64,17.8,27.49,33.18,19.88,27.49,9.12,17.8,0.61,0.83,0.89,0.81,,132.00,,,172.00,,,231.00,,,51.83,45.73,49.87,52.30,86.16,27.92,2.40
onne,TMS18F1424P0021,3,1,7,72,24.45,34.15,34.81,22.05,34.15,11.89,24.45,0.58,0.85,0.88,0.86,2,123.00,89.00,2.80,174.00,76.00,2.60,250.00,102.00,3.00,47.90,47.90,46.77,50.07,91.91,31.95,2.20
onne,TMS18F1317P0119,3,1,4,32,5.15,5.5,,,5.5,,5.15,0.52,0.58,0.86,0.83,,73.00,,,126.00,28.00,0.40,193.00,,,44.43,47.50,50.40,43.50,75.01,19.09,2.60
onne,TMS18F1344P0003,3,1,8,67,14.55,17.49,36.77,24.65,17.49,6.43,14.55,0.55,0.82,0.86,0.79,,125.00,,,172.00,0.00,0.00,230.00,,,52.63,48.13,50.67,45.17,86.53,23.69,2.60
onne,TMS18F1339P0012,3,1,7,60,14.32,19,37.67,25.86,19,7.16,14.32,0.57,0.85,0.89,0.83,,100.00,62.00,3.00,142.00,79.00,2.60,191.00,,,46.43,46.83,45.73,42.40,90.23,24.60,2.00
onne,IITA-TMS-IBA980581,3,1,8,77,30.15,40.5,30.95,16.91,40.5,12.54,30.15,0.57,0.8,0.85,0.82,,115.00,,,173.00,0.00,0.00,236.00,,,41.63,41.90,43.77,40.23,3.41,29.24,2.40
onne,TMS18F1344P0014,4,1,4,32,11.35,20.08,33.48,20.27,20.08,6.72,11.35,0.64,0.82,0.87,0.85,,94.00,,,159.00,0.00,0.00,221.00,,,52.87,49.87,49.50,50.57,0.00,23.33,3.00
onne,TMS18F1305P0007,4,1,9,80,35.23,35.45,34.42,21.53,35.45,12.2,35.23,0.5,0.82,0.91,0.84,1,123.00,73.00,3.00,145.00,81.00,2.60,230.00,87.00,3.00,49.77,50.47,47.77,47.83,100.45,31.91,2.60
onne,TMS18F1305P0019,4,1,6,50,18.29,24.35,31.71,17.92,24.35,7.72,18.29,0.57,0.81,0.89,0.86,,139.00,,,177.00,121.00,3.40,279.00,130.00,3.40,47.03,49.83,48.60,50.13,84.85,35.46,1.20
onne,TMS18F1135P0025,4,1,3,11,9.15,6.38,26.58,11.09,6.38,1.7,9.15,0.41,0.75,0.85,0.86,5,97.00,,,137.00,92.00,2.40,,,,46.17,43.27,43.80,40.97,87.01,31.74,1.20
onne,TMS18F1217P0091,4,1,3,27,19.1,24.55,32.83,19.41,24.55,8.06,19.1,0.56,0.77,0.9,0.88,,,,,,,,,,,50.30,50.87,47.70,42.17,,,
onne,TMS18F1016P0010,4,1,2,24,1.6,9.45,30.42,16.2,9.45,2.87,1.6,0.86,0.78,0.8,0.86,,,,,,,,,,,45.73,50.50,50.53,50.83,,,
onne,IITA-TMS-IBA982101,4,1,7,51,16.55,23.65,33.22,19.93,23.65,7.86,16.55,0.59,0.82,0.87,0.8,2,70.00,,,134.00,92.00,2.20,196.00,96.00,2.40,44.03,40.13,41.03,38.73,107.35,28.99,2.00
onne,TMS18F1318P0018,4,1,5,48,15.45,20.65,34.7,21.9,20.65,7.17,15.45,0.57,0.79,0.87,0.9,,83.00,,,188.00,40.00,0.60,222.00,,,53.40,50.00,50.30,50.23,107.13,22.20,2.20
onne,TMS18F1153P0053,4,1,6,32,24.25,22.1,37.61,25.78,22.1,8.31,24.25,0.48,0.85,0.87,0.87,4,144.00,,,175.00,134.00,2.60,219.00,127.00,2.40,51.70,52.03,50.57,54.13,90.31,35.99,1.40
onne,TMS18F1320P0082,4,1,11,64,19.3,30.29,34.82,22.06,30.29,10.55,19.3,0.61,0.8,0.86,0.88,,71.00,,,113.00,34.00,1.00,187.00,143.00,2.40,46.27,47.37,49.40,48.30,71.25,19.72,4.00
onne,TMS18F1317P0059,4,1,9,60,18.6,22.26,37.63,25.8,22.26,8.38,18.6,0.54,0.76,0.86,0.86,,110.00,,,131.00,7.00,0.00,224.00,,,45.20,49.83,46.73,45.50,87.96,23.94,1.60
onne,TMS18F1324P0107,4,1,9,54,15.3,24.6,28.78,14.02,24.6,7.08,15.3,0.62,0.81,0.87,0.86,,108.00,,,159.00,0.00,0.00,220.00,,,49.47,49.53,50.23,49.60,,23.01,3.20
onne,TMS18F1120P0004,4,1,9,62,21.55,21.4,35.74,23.28,21.4,7.65,21.55,0.5,0.8,0.9,0.86,,120.00,,,183.00,0.00,0.00,227.00,,,46.63,48.83,47.83,46.97,85.70,30.94,2.20
onne,TMS18F1278P0183,4,1,3,14,6.45,7.1,,,7.1,,6.45,0.52,0.83,0.89,0.82,,117.00,,,150.00,97.00,1.80,,,,54.17,50.20,50.37,32.47,,,
onne,TMS18F1353P0022,4,1,9,69,41.45,51.53,37.34,25.41,51.53,19.24,41.45,0.55,0.8,0.9,0.88,6,146.00,,,216.00,19.00,0.60,224.00,,,49.83,48.93,49.40,51.10,86.36,29.35,2.80
onne,TMS18F1047P0049,4,1,7,45,12.3,21.65,34.14,21.15,21.65,7.39,12.3,0.64,0.78,0.87,0.83,2,91.00,,,125.00,0.00,0.00,157.00,,,46.90,45.60,45.73,47.60,0.00,19.45,2.40
onne,TMS18F1059P0015,4,1,6,19,15.75,11.45,35.5,22.97,11.45,4.07,15.75,0.42,0.84,0.84,0.84,10,122.00,,,175.00,0.00,0.00,257.00,147.00,2.40,53.60,49.70,50.37,49.47,103.72,25.28,1.40
onne,TMS18F1268P0019,4,1,5,36,11.35,15.85,34,20.97,15.85,5.39,11.35,0.58,0.82,0.89,0.86,2,96.00,54.00,3.00,121.00,86.00,2.60,152.00,89.00,2.60,49.50,49.23,50.87,54.90,93.13,27.39,2.40
onne,TMS18F1342P0003,4,1,7,23,8.54,10.28,33.86,20.78,10.28,3.48,8.54,0.55,0.81,0.87,0.87,2,97.00,,,134.00,18.00,0.40,158.00,,,50.17,45.93,48.53,47.20,64.87,22.30,1.60
onne,TMS18F1426P0001,4,1,6,25,34.1,13.8,,,13.8,,34.1,0.29,0.84,0.89,0.87,5,123.00,49.00,3.00,169.00,60.00,2.00,171.00,83.00,2.00,50.20,47.00,45.30,47.03,90.18,36.21,1.40
onne,TMS18F1003P0010,4,1,7,42,25.43,18.55,34.86,22.11,18.55,6.47,25.43,0.42,0.82,0.89,0.86,1,111.00,,,151.00,93.00,2.40,248.00,121.00,2.80,48.97,48.20,48.67,46.37,83.72,25.81,2.20
onne,TMS18F1120P0006,4,1,9,71,23.65,23.05,34.68,21.88,23.05,7.99,23.65,0.49,0.79,0.85,0.85,,100.00,,,139.00,0.00,0.00,249.00,,,43.40,40.10,40.87,35.80,85.36,19.74,2.40
onne,TMS18F1505P0057,4,1,6,38,10.45,20.25,28.04,13.03,20.25,5.68,10.45,0.66,0.79,0.86,0.88,,96.00,,,118.00,0.00,0.00,209.00,,,48.80,46.50,47.90,48.60,0.00,27.34,1.80
onne,TMEB419,4,1,5,28,10.45,9.25,,,9.25,,10.45,0.47,0.7,0.86,0.87,1,,,,,,,,,,52.43,49.83,51.10,50.47,,,
onne,TMS18F1436P0049,4,1,8,68,17.01,28.1,39.32,28.06,28.1,11.05,17.01,0.62,0.8,0.88,0.87,1,73.00,,,100.00,70.00,1.80,183.00,103.00,2.60,41.57,48.13,45.83,45.13,86.67,18.77,2.80
onne,TMS18F1330P0008,5,1,6,42,6.75,13.15,30.31,16.05,13.15,3.99,6.75,0.66,0.73,0.85,0.66,1,77.00,,,120.00,,,165.00,98.00,2.40,45.90,43.63,40.63,41.67,111.33,23.88,1.80
onne,TMS18F1287P0039,5,1,7,53,18.35,17.5,34.14,21.15,17.5,5.97,18.35,0.49,0.8,0.87,0.79,4,100.00,,,137.00,,,218.00,123.00,2.20,47.93,48.60,50.77,49.67,86.12,21.01,2.80
onne,TMS18F1262P0008,5,1,8,61,30.46,14.3,32.47,18.93,14.3,4.64,30.46,0.32,0.84,0.89,0.84,5,127.00,,,171.00,113.00,3.20,253.00,153.00,2.80,50.33,49.87,48.60,46.13,99.16,35.44,1.60
onne,TMS18F1348P0156,5,1,12,106,30.45,30.05,36.24,23.95,30.05,10.89,30.45,0.5,0.82,0.88,0.85,2,111.00,,,188.00,,,246.00,,,46.90,48.43,47.60,52.10,99.66,25.37,2.80
onne,TMS18F1485P0022,5,1,6,36,20.55,22.25,32.29,18.69,22.25,7.18,20.55,0.52,0.81,0.89,0.79,5,131.00,90.00,2.00,159.60,90.00,2.60,205.00,,,49.07,48.67,48.37,47.97,85.50,28.59,2.40
onne,TMS18F1343P0171,5,1,7,36,19.7,20.1,31.54,17.69,20.1,6.34,19.7,0.51,0.81,0.84,0.83,,115.00,78.00,2.00,140.00,,,196.00,124.00,2.00,47.00,48.30,48.10,47.33,87.95,18.82,3.00
onne,TMS18F1349P0065,5,1,8,72,15.15,39.15,36.04,23.68,39.15,14.11,15.15,0.72,0.78,0.87,0.81,,129.00,,,147.00,,,207.00,,,48.70,46.30,47.87,46.17,68.25,23.20,2.40
onne,IITA-TMS-IBA982101,5,1,6,62,19.2,25.15,32.19,18.56,25.15,8.1,19.2,0.57,0.83,0.87,0.8,2,102.00,82.00,2.80,120.00,,,189.00,113.00,2.20,43.50,41.70,37.90,35.57,103.73,27.24,2.80
onne,TMS18F1333P0012,5,1,10,60,28.25,35.45,31.34,17.42,35.45,11.11,28.25,0.56,0.77,0.87,0.88,2,103.00,,,140.00,,,242.00,,,47.50,46.37,43.93,44.03,0.00,23.12,2.80
onne,TMS18F1056P0066,5,1,5,42,25.1,30.25,32.78,19.35,30.25,9.92,25.1,0.55,0.83,0.85,0.88,1,,,,169.00,,,225.00,,,47.80,45.43,46.43,45.07,72.49,32.05,2.00
onne,TMS18F1295P0030,5,1,8,62,17.96,27.15,37.22,25.26,27.15,10.11,17.96,0.6,0.81,0.86,0.79,,132.00,,,186.00,132.00,3.20,238.00,131.00,2.80,52.47,52.57,49.27,49.03,90.11,25.55,1.40
onne,TMS18F1313P0013,5,1,10,100,25.15,36.16,37.23,25.27,36.16,13.46,25.15,0.59,0.79,0.86,0.82,,133.00,,,176.00,,,253.00,166.00,2.40,46.00,50.73,49.23,50.73,96.91,28.55,1.80
onne,IITA-TMS-IBA980581,5,1,7,62,18.35,22.08,31.18,17.22,22.08,6.89,18.35,0.55,0.83,0.8,0.81,2,121.00,,,167.00,,,223.00,,,45.60,43.03,45.07,41.17,0.00,21.75,3.20
onne,TMS18F1007P0004,5,1,9,86,26.5,45.06,35.61,23.11,45.06,16.04,26.5,0.63,0.83,0.88,0.81,,139.00,105.00,3.00,170.00,118.00,2.60,247.00,147.00,3.40,52.40,50.17,50.40,47.60,92.42,30.34,1.60
onne,TMS18F1138P0028,5,1,11,68,12.58,31.16,32.57,19.06,31.16,10.15,12.58,0.71,0.81,0.84,0.79,1,106.00,,,137.00,,,167.00,,,47.93,47.07,50.60,51.73,0.00,19.54,3.00
