trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,BRNHT9,PLTHT6,FYLD,DYLD,HI,BRNHT6
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1250P0050_1031,TMS18F1250P0050,1031,2,,1,2,20,0,2,155.8333333,9,45,19.37,2,86.27,22.32,2,10.8,68.33333333,140.6666667,26.2,8.5,0.65,66.66666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1026P0009_1032,TMS18F1026P0009,1032,2,,1,2,19,2,3,155,7,22,29.33,3,82.96,23.57,1,15.45,61.66666667,163.3333333,19.9,8,0.49,59
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1338P0013_1033,TMS18F1338P0013,1033,2,,1,2,18,0,4,173.3333333,9,63,,3,68.81,19,2,13.1,50.83333333,158.3333333,34.4,10.5,0.66,45
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1421P0025_1034,TMS18F1421P0025,1034,2,,1,2,17,3,3,117.5,7,12,,2,60.77,17.62,1,3.5,25,133.3333333,5.2,1.8,0.53,33.33333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1174P0011_1035,TMS18F1174P0011,1035,2,,1,2,16,3,3,185.8333333,9,31,,3,89.68,23.58,2,18.5,49.16666667,171.6666667,17.9,4.5,0.42,73
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1064P0027_1036,TMS18F1064P0027,1036,2,,1,2,15,0,2,140,9,58,12.12,3,71.25,20.7,2,16.75,64.16666667,113,43.7,11.7,0.66,63.33333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1324P0171_1037,TMS18F1324P0171,1037,2,,1,2,14,0,2,181.6666667,8,57,,3,69.75,21.86,2,12.45,99.5,188.3333333,17.7,5.8,0.52,133.3333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1277P0045_1038,TMS18F1277P0045,1038,2,,1,2,13,2,2,154.1666667,9,28,17.04,3,78.28,21.49,1,21.98,62.5,153.3333333,9.8,2.3,0.25,68.33333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA982101_1039,IITA-TMS-IBA982101,1039,2,1,1,2,12,0,2,180,6,26,,2,87.79,28.96,1,18.55,77.5,165,19.7,5.8,0.44,60
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1286P0012_1040,TMS18F1286P0012,1040,2,,1,2,11,0,2,214.1666667,9,63,,3,66.84,26.12,3,32.55,127.5,206.6666667,35.9,13.8,0.45,125
