trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-IITA-TMS-IBA982101_1082,IITA-TMS-IBA982101,1082,4,1,1,4,19,2,2,196,7,51,19.93,2,107.354,28.99,2,16.55,23.65,96,134,23.65,7.86,16.55,0.59,33.22,92
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1318P0018_1083,TMS18F1318P0018,1083,4,,1,4,18,,,222,5,48,21.90,3,107.13,22.20,2,15.45,20.65,,188,20.65,7.17,15.45,0.57,34.70,40
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1153P0053_1084,TMS18F1153P0053,1084,4,,1,4,17,4,2,219,6,32,25.78,3,90.314,35.99,1,24.25,22.1,127,175,22.1,8.31,24.25,0.48,37.61,134
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1320P0082_1085,TMS18F1320P0082,1085,4,,1,4,16,,2,187,11,64,22.06,2,71.246,19.72,4,19.3,30.29,143,113,30.29,10.55,19.3,0.61,34.82,34
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1317P0059_1086,TMS18F1317P0059,1086,4,,1,4,15,,,224,9,60,25.80,3,87.958,23.94,2,18.6,22.26,,131,22.26,8.38,18.6,0.54,37.63,7
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1324P0107_1087,TMS18F1324P0107,1087,4,,1,4,14,,,220,9,54,14.02,1,,23.01,3,15.3,24.6,,159,24.6,7.08,15.3,0.62,28.78,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1120P0004_1088,TMS18F1120P0004,1088,4,,1,4,13,,,227,9,62,23.28,3,85.704,30.94,2,21.55,21.4,,183,21.4,7.65,21.55,0.50,35.74,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1278P0183_1089,TMS18F1278P0183,1089,4,,1,4,12,,,,3,14,,3,,,,6.45,7.1,,150,7.1,,6.45,0.52,,97
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1353P0022_1090,TMS18F1353P0022,1090,4,,1,4,11,6,,224,9,69,25.41,3,86.362,29.35,3,41.45,51.53,,216,51.53,19.24,41.45,0.55,37.34,19
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1047P0049_1091,TMS18F1047P0049,1091,4,,1,4,10,2,,157,7,45,21.15,1,,19.45,2,12.3,21.65,,125,21.65,7.39,12.3,0.64,34.14,
