Genotypes,Replication,ANGBR9,BRNHB9,BRNHT9,BRNHT6,BRNLEV9,DM,DYLD,FYLD,HI,LODG,NOHAV,PLTHT9,PLTHT6,PPSTD9,PT,RTNO,RTWT,SHTWT,STARCH,STMDI9,TYLD,VR
G365,1,73.82987956,3.019612646,110.8117529,85.34916323,1.751969303,34.62848644,8.516510911,23.88258579,0.41620112,2.670246381,8.575849565,204.2899001,207.6250875,1.799221225,2.730772942,33.99642623,18.72142892,23.12275794,26.95259904,25.53928231,29.58857155,2.730772942
G366,1,94.76980074,2.86595872,84.17821982,81.44016502,2.484996797,33.2816479,6.91209517,20.7167134,0.447638477,3.172074265,8.157284787,185.4802788,175.4605284,1.346140632,2.730772942,39.48804273,14.92396843,19.33434629,26.01543819,26.96706298,26.32846882,2.730772942
G367,1,53.87986134,1.881315098,NA,NA,0.840512604,34.42758805,7.709724816,21.24130046,0.480907687,1.563046087,7.753329272,212.1365992,205.2956285,1.752296697,2.730772942,34.14097628,15.26977372,17.37442315,25.06825825,24.19518097,23.87391805,2.730772942
G368,1,76.02704902,2.913889467,83.06537207,81.67512192,2.269524973,36.27295054,10.74066667,28.90633765,0.452829785,1.408172972,8.767825062,197.8052188,185.845958,1.75955424,2.730772942,55.97744473,22.33864686,24.42812032,27.71559246,25.76177515,31.83108748,2.730772942
G369,1,82.40945401,2.634969189,92.77684221,77.12681462,1.718063259,30.93036205,7.146835918,23.72706492,0.471802973,1.253455881,8.863369523,196.0501808,187.9440468,1.487035942,2.730772942,37.50412128,17.70467131,18.45995464,22.65702387,23.79678932,24.98850289,2.730772942
G370,1,73.80277407,2.223775672,104.4939109,94.80164962,2.058863932,31.98721716,6.851572759,21.4363227,0.44855626,1.298982676,7.959177157,201.6430373,197.3079791,1.588579869,2.730772942,40.24125995,16.15702225,18.83614103,23.54989305,25.04108079,24.70097271,2.730772942
G371,1,80.04107197,2.884444795,74.68178672,76.36577337,2.438048701,34.28543473,6.19270993,17.56778894,0.344326934,3.18566946,7.875408134,189.7320969,196.3938931,1.765532652,2.730772942,33.26151624,12.54222511,25.59053519,25.86851941,28.39974578,34.18170088,2.730772942
G372,1,76.95827811,3.148202735,73.87805092,67.98283843,2.240025577,34.89125965,9.814219736,28.401323,0.536658521,1.398780653,8.855000554,148.2506066,147.0582752,1.807838818,2.730772942,41.69422248,21.72109084,18.21654729,26.67335382,22.0406831,24.40887489,2.730772942
G373,1,NA,1.656722147,125.1565505,NA,0.993909959,36.36844769,6.968348673,18.77630598,0.372818694,2.402137156,8.346367401,225.5084366,215.0541633,1.703282798,2.730772942,35.80106515,13.74768586,21.27758536,27.37751904,23.39541216,28.00983462,2.730772942
G374,1,79.27123896,2.744144347,57.34479204,65.49885203,2.740221375,36.15237916,5.791873189,13.87187465,0.288379659,4.313450531,8.565215509,192.9530382,199.6515876,1.751289389,2.730772942,29.94633689,10.14385031,24.73545958,25.1667173,25.03183387,31.52296278,2.730772942
G375,1,77.94682182,2.917942337,89.5547911,87.39338412,2.19013383,33.6468107,8.891411572,26.47202374,0.491896262,1.147211179,8.168023137,182.5516378,180.4768496,1.800792064,2.730772942,46.71697115,19.41852834,19.56434832,25.88442917,24.05962376,26.72012758,2.730772942
G376,1,77.20818134,2.884722521,69.9639349,70.93158357,2.435558326,34.32196363,9.794822154,29.00048243,0.543667483,1.601979693,8.712632765,171.7431181,172.8104993,1.576173558,2.730772942,50.19051773,22.64948941,17.57509483,26.49921385,25.75003125,23.69672128,2.730772942
G377,1,69.28102055,2.593702205,159.91874,155.928236,1.549163436,33.21009055,4.709685274,13.40048214,0.33863821,3.277021499,7.725024573,218.4743387,217.4880644,1.680264146,2.730772942,25.83464773,9.696812129,18.83349709,24.05125611,26.33876243,25.41322772,2.730772942
