Genotypes,Replication,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
TMS18F1040P0032,2,3,2,198.3333333,9,55,26.88,3,94.86,29.08,2,22.3,39.05,65.83333333,188.3333333,52.1,17.1,29.7,0.64,32.8,72
TMS18F1348P0113,2,1,2,162.5,8,23,21.11,3,72.96,24.14,1,8.4,14.1,92,146.6666667,18.8,5.2,11.2,0.63,27.6,86.66666667
TMS18F1318P0054,2,0,2,160,9,49,,5,63.76,24.38,2,15.35,20.25,78.33333333,141.6666667,27.0,,20.5,0.57,,85
IITA-TMS-IBA982101,2,0,2,162.5,9,29,,2,80.17,26.35,2,22.5,12.3,55,153.3333333,16.4,5.6,30.0,0.35,34,38.33333333
TMS18F1319P0061,2,0,2,169.1666667,9,82,,3,71.29,28.26,2,21.55,23.7,65,183.3333333,31.6,10.0,28.7,0.52,31.6,51.66666667
IITA-TMS-IBA30572,2,2,2,174.1666667,9,30,,3,,33.48,1,18.2,8.6,111,161.6666667,11.5,2.6,24.3,0.32,23.1,111.6666667
TMS18F1007P0005,2,0,2,175,8,60,31.41,3,84.42,26.24,2,20.4,21.55,80.83333333,180,28.7,10.4,27.2,0.51,36.3,91.66666667
TMS18F1314P0007,2,0,2,161.6666667,9,82,,3,80.48,27.55,2,24.65,21.3,72.5,175,28.4,8.2,32.9,0.46,28.9,63.33333333
TMS18F1320P0087,2,0,2,180,9,98,30.16,4,63.39,27.4,2,20.35,32.9,57,185,43.9,16.2,27.1,0.62,37,96.66666667
TMS18F1364P0018,2,0,3,178.6666667,9,63,21.37,3,75.8,23.29,2,16.25,23.5,39.16666667,165,31.3,9.7,21.7,0.59,30.9,38.33333333
IITA-TMS-IBA980581,2,0,1,158.3333333,9,33,,3,,26.72,1,21.4,12.8,103,165,17.1,5.6,28.5,0.37,33.1,123.3333333
TMS18F1338P0099,2,0,3,138.3333333,9,44,,2,,23.3,2,16.45,15.4,51.66666667,143.3333333,20.5,8.0,21.9,0.48,39,36.66666667
TMS18F1328P0032,2,0,0,151.6666667,9,19,,1,,21.04,2,14.1,10.1,,163.3333333,13.5,4.9,18.8,0.42,36.1,
TMS18F1120P0006,2,,,,0,,,,,,,20,,,,,,26.7,,,
TMS18F1092P0016,2,8,3,165,9,19,,3,81.26,26.15,2,20,7.75,40,146.6666667,10.3,3.9,26.7,0.28,38,33.33333333
TMS18F1424P0021,2,2,3,200,9,39,31.83,3,78.64,29.07,2,18.5,15.15,70.83333333,193.3333333,20.2,7.5,24.7,0.45,36.9,21.66666667
TMS18F1364P0027,2,6,1,240.8333333,5,13,,3,92.39,28.82,2,16,4.3,125.8333333,235,5.7,1.5,21.3,0.21,26.5,135
TMS18F1209P0015,2,9,3,218.3333333,9,40,,3,89.68,26.42,2,11.35,17.3,42.83333333,198.3333333,23.1,8.2,15.1,0.60,35.5,36.66666667
TMS18F1287P0039,2,0,3,188.3333333,9,61,,3,77.48,25.66,1,5.6,27.3,55,184,36.4,13.6,7.5,0.83,37.3,45
TMS18F1265P0030,2,0,0,74.16666667,6,,,1,,19.27,2,4.9,3.6,,78.33333333,4.8,1.7,6.5,0.42,34.9,
TMS18F1344P0153,2,0,2,184.1666667,9,84,31.28,3,83.19,31.32,2,40.65,31.4,107.1666667,181.6666667,41.9,16.0,54.2,0.44,38.3,108.6666667
TMS18F1348P0131,2,2,3,182.5,5,28,,3,79.79,28.07,2,20.6,7.85,62.5,196.6666667,10.5,3.7,27.5,0.28,35.5,31.66666667
TMS18F1349P0157,2,0,2,181.6666667,9,66,32.42,3,77.29,28.16,2,19.2,20.15,58.33333333,168.3333333,26.9,11.1,25.6,0.51,41.3,90
TMS18F1347P0029,2,0,2,178.3333333,9,55,35.43,3,72.76,26.43,1,21.8,23.65,65,186.6666667,31.5,13.2,29.1,0.52,41.9,105.6666667
TMS18F1344P0100,2,0,2,152.5,9,58,22.09,3,79.08,27.65,1,17.7,22,65,146.6666667,29.3,8.8,23.6,0.55,30.1,56.66666667
TMS18F1469P0062,2,0,0,216.25,3,9,,,,,,30.3,3.85,,203.3333333,5.1,1.8,40.4,0.11,34.8,
TMS18F1341P0037,2,0,2,248.3333333,9,77,25.2,3,67.91,29.42,3,35.5,29.5,112.5,245,39.3,11.6,47.3,0.45,29.6,98.33333333
TMS18F1350P0065,2,0,2,205.8333333,9,70,,3,75.67,28.5,2,13.5,24.9,80,223.3333333,33.2,6.7,18.0,0.65,20.1,93.33333333
IITA-TMS-IBA000070,2,0,1,217.5,9,58,,3,78.68,31.57,2,18,32.9,99.16666667,200,43.9,14.2,24.0,0.65,32.4,101.6666667
TMS18F1138P0028,2,1,2,161.6666667,6,25,23.74,3,85.65,25.76,1,8.9,19.45,73.33333333,160,25.9,7.3,11.9,0.69,28.3,80
TMS18F1047P0049,2,0,1,175.8333333,9,35,,2,,26.12,2,13.6,17.6,122.5,161.6666667,23.5,7.1,18.1,0.56,30.1,133.3333333
TMS18F1348P0157,2,0,2,176.6666667,8,46,33.38,3,78.11,25.18,1,10.05,18.3,104.1666667,171.6666667,24.4,10.2,13.4,0.65,41.6,103.3333333
TMS18F1180P0033,2,0,3,179.1666667,9,32,,3,87.31,28.68,2,16.4,13.15,63.33333333,193.3333333,17.5,5.9,21.9,0.45,33.8,56.66666667
TMS18F1319P0033,2,0,2,180,8,28,31.69,3,72.43,29.57,2,17.75,14.65,74.16666667,165,19.5,8.0,23.7,0.45,40.8,67
TMS18F1042P0009,2,0,3,203.3333333,3,25,,,,,,20.4,10.8,82,186.6666667,14.4,4.8,27.2,0.35,33,56.66666667
TMS18F1306P0135,2,2,3,206.6666667,9,37,,3,69.33,30.73,1,14.2,16.2,86.66666667,196.6666667,21.6,7.7,18.9,0.53,35.6,65
TMS18F1056P0019,2,0,3,171.6666667,9,31,,2,75.66,20.92,2,12.8,10.1,38.33333333,163.3333333,13.5,5.3,17.1,0.44,39.4,30
TMS18F1217P0095,2,0,3,143.3333333,9,35,,3,78.97,26.33,1,13,12.7,37.5,126.6666667,16.9,6.4,17.3,0.49,37.8,31.66666667
TMS18F1060P0067,2,0,1,123.3333333,9,60,,4,69.56,25.08,2,14.8,32.2,75.83333333,136.6666667,42.9,15.4,19.7,0.69,35.8,98.33333333
TMS18F1163P0035,2,3,3,135,8,13,25.49,3,82.93,22.63,1,6.25,7.7,27.5,140,10.3,3.4,8.3,0.55,33.2,35
TMS18F1047p0012,2,0,2,183.3333333,9,45,27.29,3,84.15,25.36,1,13.3,27.55,88.66666667,171.6666667,36.7,13.8,17.7,0.67,37.6,100
TMS18F1069P0033,2,7,2,175.8333333,9,39,,4,67.21,27.56,2,15.5,12.85,91.66666667,176.6666667,17.1,6.9,20.7,0.45,40.1,111.6666667
TMS18F1282P0049,2,3,1,169.1666667,8,42,29.84,3,88.99,24.96,1,13.55,15.1,123,161.6666667,20.1,7.6,18.1,0.53,37.9,118.3333333
TMS18F1083P0028,2,0,2,168.3333333,9,66,24.91,3,83.91,22.29,2,14.65,24.7,71.66666667,168.3333333,32.9,9.2,19.5,0.63,28,70
TMS18F1262P0015,2,5,2,215.8333333,6,11,,3,70.27,28.79,1,10.05,6.3,91,240,8.4,3.0,13.4,0.39,36.2,90
TMS18F1343P0019,2,0,0,156.6666667,9,43,,2,,22.12,2,8.6,14.35,115,160,19.1,7.1,11.5,0.63,37,
TMS18F1333P0012,2,0,2,166.6666667,9,20,24.56,3,71.76,22.01,1,11.3,13.25,96.66666667,163.3333333,17.7,5.3,15.1,0.54,30,95
TMS18F1344P0133,2,0,2,189.1666667,9,60,32.54,3,76.22,24.51,1,20.95,26.3,107,178.3333333,35.1,13.0,27.9,0.56,37.1,105
TMS18F1338P0116,2,0,3,195.8333333,9,58,25.7,3,98.62,26.55,1,16.15,31.05,80,200,41.4,12.9,21.5,0.66,31.2,98.33333333
TMS18F1562P0055,2,0,2,177.5,9,49,,3,75.57,23.85,2,15.7,23.15,92.33333333,182.3333333,30.9,7.8,20.9,0.60,25.4,101.6666667
TMEB419,2,6,0,250.8333333,9,14,,1,,28.56,2,,,,237.6666667,,,,,33.4,
TMS18F1287P0029,2,0,2,156.6666667,9,95,34.29,3,73.54,19.75,2,10.55,22.9,95,143.3333333,30.5,12.4,14.1,0.68,40.7,95
TMS18F1179P0008,2,0,2,190.8333333,9,75,27.42,3,69.91,26.54,2,24.5,31.55,105,193.3333333,42.1,14.5,32.7,0.56,34.5,105
TMS18F1377P0007,2,1,3,190,9,56,26.76,3,77.67,22.43,1,12.1,32.45,78.33333333,186.6666667,43.3,14.5,16.1,0.73,33.4,56.66666667
IITA-TMS-IBA980581,2,0,1,175,9,36,,3,74.96,26.02,1,16.3,12.95,91.66666667,145,17.3,6.1,21.7,0.44,35.4,88.33333333
TMS18F1165P0008,2,2,3,225,8,36,,3,77.8,25.28,1,19.25,15.35,76.66666667,245,20.5,8.7,25.7,0.44,42.7,113.3333333
TMS18F1489P0038,2,0,3,145.8333333,8,40,,3,85.84,29.1,1,10.8,19.8,37.5,150,26.4,9.5,14.4,0.65,35.8,40.66666667
TMS18F1308P0077,2,0,3,142.5,9,68,29.1,3,76.65,23.35,2,23.35,35.95,49.5,170,47.9,18.6,31.1,0.61,38.8,51.66666667
TMS18F1280P0126,2,2,3,152.3333333,9,59,,3,93.72,23.19,1,14.28,18.45,75.16666667,173.3333333,24.6,8.7,19.0,0.56,35.3,72.66666667
TMS18F1278P0068,2,2,1,220,4,6,,2,,31.12,2,8.85,2.45,97.5,235,3.3,0.6,11.8,0.22,17.9,110
TMS18F1343P0153,2,0,3,161.3333333,9,28,,3,92.45,26.49,2,9,16.2,72.5,176.6666667,21.6,7.3,12.0,0.64,33.9,71.66666667
IITA-TMS-IBA30572,2,1,2,152,9,26,,3,93.49,28.99,1,11.5,6.3,99,180,8.4,2.3,15.3,0.35,26.9,102.3333333
TMS18F1065P0037,2,0,1,169.1666667,9,76,27.76,3,,21.87,1,24.8,34.8,121,165,46.4,15.7,33.1,0.58,33.9,136.6666667
TMS18F1302P0018,2,0,3,155.8333333,6,24,,3,73.98,22.92,1,7.55,14,37.5,166.6666667,18.7,7.7,10.1,0.65,41.3,31.66666667
TMS18F1280P0136,2,1,3,145.8333333,5,25,,3,89.98,19.94,1,8.5,9,70.83333333,163.3333333,12.0,4.5,11.3,0.51,37.4,53.33333333
TMS18F1127P0011,2,0,3,139.1666667,9,27,24.42,3,77.23,22.97,1,15.7,18.25,45,141.6666667,24.3,7.9,20.9,0.54,32.3,40
TMS18F1076P0106,2,0,1,125,9,32,,3,79.17,19.48,2,7.85,8.85,70,146.6666667,11.8,4.2,10.5,0.53,36,101.6666667
TMS18F1003P0009,2,0,3,215,9,36,26.81,3,89.3,27.41,2,16.25,15.4,82,210,20.5,7.4,21.7,0.49,35.8,60
TMS18F1323p0025,2,0,4,186.6666667,9,60,29.4,3,80.61,26.23,1,23.3,26.05,35.83333333,195,34.7,14.3,31.1,0.53,41.3,36.66666667
TMS18F1353P0023,2,2,3,188.3333333,9,65,,3,104.08,26.5,1,20.75,21.7,82.5,188.3333333,28.9,8.8,27.7,0.51,30.4,73.33333333
TMS18F1320P0101,2,0,3,165,9,36,,3,90.29,35.3,1,22.55,13.2,60.83333333,188.3333333,17.6,6.9,30.1,0.37,39.2,60
TMS18F1179P0029,2,0,1,185.8333333,9,52,33.34,3,70.66,23.67,3,19.3,16.6,103.8333333,186.6666667,22.1,8.7,25.7,0.46,39.3,110
TMS18F1291P0026,2,0,3,214.1666667,9,51,,3,62.59,26.89,1,24.2,17,43.33333333,208.3333333,22.7,8.6,32.3,0.41,38.1,23.33333333
TMS18F1319P0159,2,0,2,228.3333333,9,71,27.54,4,90.65,28.33,2,33.2,32.8,120.8333333,206.6666667,43.7,15.3,44.3,0.50,35,101.6666667
IITA-TMS-IBA982101,2,1,3,216.6666667,9,51,,3,81.91,30.4,2,38.25,19.7,41.66666667,200,26.3,8.7,51.0,0.34,33.1,40
TMS18F1277P0045,2,,,,9,29,,,,,,,,,,,,,,,
TMS18F1305P0019,2,3,2,221.6666667,5,26,18.2,3,81.74,21.83,2,8.2,20.5,98.33333333,228.3333333,27.3,6.9,10.9,0.71,25.2,93.33333333
TMS18F1389P0021,2,7,3,235,0,,,3,83.17,26.82,2,,,20,231.6666667,,,,,36.9,40
TMS18F1295P0030,2,1,3,173.3333333,9,39,23.12,3,80.59,22.23,2,20,21.15,34.16666667,161.6666667,28.2,8.9,26.7,0.51,31.7,15
TMS18F1191P0002,2,0,3,144.1666667,8,35,28.97,3,76.11,22.36,2,9.55,10.45,46.66666667,151.6666667,13.9,5.5,12.7,0.52,39.6,55
TMS18F1217P0091,2,0,2,205,9,119,,2,79.79,27.58,2,24.5,24.4,105.8333333,181.6666667,32.5,10.6,32.7,0.50,32.6,110
TMS18F1058P0019,2,0,3,151.6666667,9,47,,3,78.7,29.89,1,19.7,14.45,40.83333333,163.3333333,19.3,7.3,26.3,0.42,37.8,51.66666667
TMS18F1305P0031,2,0,3,170.8333333,9,58,29.19,3,83.44,24.45,2,18.7,20.7,79.16666667,168.3333333,27.6,11.0,24.9,0.53,39.8,80
TMS18F1327P0006,2,0,3,179.1666667,9,78,,3,67.01,24.49,2,24.25,20.45,93.33333333,171.6666667,27.3,10.5,32.3,0.46,38.4,60
TMS18F1395P0038,2,0,3,203.6666667,8,42,32.09,4,64.84,27.89,2,17.4,21.5,100,193.3333333,28.7,11.6,23.2,0.55,40.3,76.66666667
TMS18F1344P0147,2,4,3,157.5,7,25,36.02,3,68.59,23.95,2,28.15,10.35,56,165,13.8,6.2,37.5,0.27,45.2,53.33333333
IITA-TMS-IBA000070,2,0,2,209.1666667,9,46,,3,73.91,26.72,2,19,17.95,80,207.3333333,23.9,8.7,25.3,0.49,36.2,78.33333333
TMS18F1365P0018,2,2,1,197.8333333,9,63,,3,84.51,25.8,2,15.6,13.48,108.3333333,208.3333333,18.0,,20.8,0.46,,123.3333333
TMS18F1335P0021,2,2,2,268.3333333,7,9,27.36,3,77.72,25.54,2,15.3,10.95,140,238.6666667,14.6,5.3,20.4,0.42,36.4,140.6666667
TMS18F1260P0060,2,0,3,165,9,61,24.32,3,85.52,23.72,2,13.3,18.5,54.16666667,201.6666667,24.7,8.9,17.7,0.58,36.2,51.66666667
TMS18F1327P0013,2,3,3,116.6666667,9,38,,2,74.71,19.36,2,10.3,11.8,36.66666667,118.3333333,15.7,6.9,13.7,0.53,43.9,31.66666667
TMS18F1178P0046,2,0,1,166.6666667,9,56,23.99,2,,21.94,2,12.3,22.25,127.5,175,29.7,10.3,16.4,0.64,34.8,115
TMS18F1217P0114,2,0,0,80,9,20,,,,14.58,,3,2.05,,88.33333333,2.7,,4.0,0.41,,
TMS18F1355p0030,2,0,2,197.5,9,61,17.04,3,71.01,32.71,1,27.8,24.45,107.5,208.3333333,32.6,9.0,37.1,0.47,27.6,123.3333333
TMS18F1489P0040,2,0,3,209.1666667,8,27,25.22,3,84.19,27.69,1,28.75,18.65,31.66666667,198.3333333,24.9,7.9,38.3,0.39,31.8,21.66666667
TMS18F1132P0042,2,0,2,174.1666667,9,61,30.95,3,77.08,24.23,3,24.5,21.15,78,168.3333333,28.2,10.8,32.7,0.46,38.4,88.33333333
TMS18F1132P0083,2,0,2,171.6666667,9,40,32.61,3,76.38,24.97,1,20.35,13.95,70.83333333,166.6666667,18.6,8.0,27.1,0.41,43.1,66.66666667
IITA-TMS-IBA000070,2,0,2,205.8333333,9,63,24.59,3,78.06,32.35,2,22.5,34.1,85.83333333,186.6666667,45.5,16.4,30.0,0.60,36,80
TMS18F1319P0041,2,0,3,127.5,0,,,3,77.56,24.37,1,11.55,7.9,39.16666667,135,10.5,4.1,15.4,0.41,38.5,41.66666667
TMS18F1090P0031,2,2,3,180,6,17,,,,,,21.15,3.3,70,206.6666667,4.4,1.7,28.2,0.13,39,65
TMS18F1520P0039,2,0,4,188.3333333,9,46,,3,85.51,27.54,2,22.3,16.7,85,201.6666667,22.3,8.6,29.7,0.43,38.7,33.33333333
TMS18F1353p0017,2,1,1,140.8333333,9,42,29.51,2,,22.38,2,8.8,12.05,98.75,151.6666667,16.1,6.0,11.7,0.58,37.3,103.3333333
TMS18F1082P0024,2,0,4,195.8333333,7,24,,3,80.35,25.69,2,19.75,8.2,64.16666667,192.3333333,10.9,4.2,26.3,0.29,38.7,18.33333333
TMS18F1149P0024,2,4,3,187.5,8,31,24.29,4,75.23,28.77,2,24.9,21.8,70.83333333,196.6666667,29.1,9.0,33.2,0.47,31,63.33333333
TMS18F1344P0159,2,4,2,180.8333333,9,43,31.7,3,94.35,28.64,1,16.8,17.75,89.16666667,188.3333333,23.7,10.2,22.4,0.51,43.1,58.33333333
TMS18F1331P0013,2,0,2,239.1666667,9,24,24.5,3,86.27,30.4,1,24.4,20.3,130,240,27.1,8.0,32.5,0.45,29.7,133.3333333
TMS18F1341P0044,2,0,3,222.5,9,23,24.02,3,84.63,23.31,1,16.55,16.95,30.83333333,210,22.6,7.1,22.1,0.51,31.5,40
TMS18F1020P0027,2,2,3,149.1666667,9,67,,3,78.54,26.66,1,12.25,22.3,60.83333333,168.3333333,29.7,11.2,16.3,0.65,37.8,70
TMS18F1364P0022,2,0,3,158.3333333,9,36,30.7,2,74.59,22.34,2,26.2,18.85,43.33333333,180,25.1,10.0,34.9,0.42,39.6,31.66666667
TMS18F1280P0151,2,4,2,145.8333333,8,28,29.75,3,75.53,22.38,1,7.8,13.05,65.83333333,143.3333333,17.4,6.4,10.4,0.63,36.9,58.33333333
TMS18F1348P0156,2,0,2,160.8333333,9,44,31.71,3,84.27,23.91,2,13.98,17.35,77.5,175,23.1,10.0,18.6,0.55,43.2,95
TMS18F1307P0001,2,1,2,135,8,14,22.55,3,96.06,26.18,1,10.05,5.1,44.16666667,131.6666667,6.8,2.1,13.4,0.34,30.7,38.33333333
TMEB419,2,1,0,259.1666667,9,30,28.96,1,,24.35,2,48.33,13.85,165,256.6666667,18.5,6.6,64.4,0.22,35.7,
TMS18F1114P0039,2,4,2,166.6666667,9,21,,3,84.44,23.96,2,13.85,8.45,50,171.6666667,11.3,4.2,18.5,0.38,37.4,60
TMS18F1350P0026,2,5,2,174.1666667,9,13,,4,67.67,23.45,2,9.1,5,84.16666667,190,6.7,2.5,12.1,0.35,38.1,75
TMS18F1372P0041,2,0,1,135.8333333,0,,,,,,,,,120,143.3333333,,,,,,115
TMS18F1520P0050,2,0,3,190,9,39,22.55,3,92.63,23.96,2,18.2,19.5,60.83333333,206.6666667,26.0,8.1,24.3,0.52,31,63.33333333
TMS18F1344P0176,2,0,3,176.6666667,9,48,27.3,3,68.43,25.72,1,25.4,27.05,39.16666667,173.3333333,36.1,10.7,33.9,0.52,29.7,33.33333333
TMS18F1338P0115,2,3,2,119.1666667,9,13,,3,,20.75,2,12.5,4.9,32.5,123.3333333,6.5,2.5,16.7,0.28,38,31.66666667
TMS18F1295P0034,2,2,2,151.6666667,3,15,,,,,,6.15,8.15,105,141.6666667,10.9,3.1,8.2,0.57,28.8,98.33333333
TMS18F1388P0012,2,2,2,177.5,7,19,18.7,3,81.97,32.11,1,17.5,5.45,68.75,186.6666667,7.3,2.3,23.3,0.24,31.7,68.33333333
IITA-TMS-IBA980581,2,0,1,186.6666667,9,53,24.86,3,73.95,30.15,2,19.8,21.3,117,186.6666667,28.4,9.4,26.4,0.52,33.1,116.6666667
TMS18F1156P0016,2,5,4,141.6666667,9,7,,3,80.44,24.56,2,21.45,2.45,34.16666667,163.3333333,3.3,,28.6,0.10,,23.33333333
TMS18F1081P0014,2,2,0,197.5,9,32,33.34,1,,24.62,2,17.15,7.25,,198.3333333,9.7,3.9,22.9,0.30,40.8,
TMS18F1350P0056,2,1,2,131.6666667,9,30,28.47,3,72.63,22.77,2,9.2,14.65,45,143.3333333,19.5,6.7,12.3,0.61,34.5,45
TMS18F1348P0095,2,0,2,133.3333333,9,63,19.98,3,84.34,24.09,2,12.65,26.25,77.5,126.6666667,35.0,10.6,16.9,0.67,30.2,76.66666667
TMS18F1436P0053,2,4,3,180,9,32,,3,76.88,27.04,1,20.45,13.45,85.83333333,186.6666667,17.9,7.7,27.3,0.40,43.1,48.33333333
TMS18F1354P0027,2,0,3,214.1666667,9,87,31,3,71.31,26.27,2,28.4,27.05,77.5,205,36.1,14.2,37.9,0.49,39.5,68.33333333
IITA-TMS-IBA982101,2,1,2,197.5,9,40,25.68,3,84.03,30.99,1,17.3,19.35,75.83333333,186.6666667,25.8,8.7,23.1,0.53,33.6,56.66666667
TMS18F1372P0001,2,0,4,195.8333333,9,45,,3,81.87,27.32,1,17.95,17,30,198.3333333,22.7,8.2,23.9,0.49,36.1,30
TMS18F1019P0018,2,7,2,221.6666667,9,29,,3,66.55,24.46,2,9.85,10.15,165,208.3333333,13.5,2.8,13.1,0.51,20.8,145
TMS18F1001P0014,2,1,2,123,5,23,,2,82.03,28.99,1,10.1,17.75,50,128.3333333,23.7,6.8,13.5,0.64,28.8,48.33333333
TMS18F1064P0027,2,1,3,142.5,9,55,10.94,3,89.54,25.99,1,18.6,38.75,66.66666667,143.3333333,51.7,11.3,24.8,0.68,21.8,65
TMS18F1024P0020,2,0,2,135.8333333,9,14,11.58,3,83.75,23.27,1,8.3,12.7,56.66666667,145,16.9,3.9,11.1,0.60,22.9,65
IITA-TMS-IBA30572,2,0,3,197.5,9,23,22.71,3,85.28,27.44,2,27.3,7.95,77.5,181.6666667,10.6,3.1,36.4,0.23,29.3,51.66666667
TMS18F1280P0086,2,0,0,281.6666667,9,39,,1,,30.71,1,37.35,22,,281.6666667,29.3,11.9,49.8,0.37,40.4,
TMS18F1280P0057,2,0,3,199.1666667,8,18,34.1,3,75.55,25.3,1,22.2,10.7,70,188.3333333,14.3,5.9,29.6,0.33,41.4,68.33333333
TMS18F1480P0023,2,0,2,174.1666667,9,52,18.6,3,88.16,28.59,1,17.65,24.05,87.5,181.6666667,32.1,8.4,23.5,0.58,26.3,95
TMS18F1330P0008,2,1,2,137.5,4,24,,3,,21.05,1,5.45,7.65,101.25,165,10.2,3.5,7.3,0.58,34.3,95
TMS18F1408P0006,2,0,2,192.5,9,48,24.01,3,75.85,26.86,2,21.05,25.95,99.16666667,195.6666667,34.6,11.0,28.1,0.55,31.9,92.33333333
TMS18F1317P0119,2,2,1,160,2,7,,3,62.61,23.67,1,6.1,1.6,81.66666667,145,2.1,0.8,8.1,0.21,35.5,103.3333333
TMEB419,2,3,1,260,9,12,,1,,29.33,1,30.65,12.3,152.5,248.3333333,16.4,5.7,40.9,0.29,34.5,140
TMS18F1135P0025,2,1,2,210,3,20,,3,75.71,26.22,1,6.35,8.5,109.1666667,201.6666667,11.3,4.2,8.5,0.57,37.3,113.3333333
TMS18F1421P0005,2,2,2,189.1666667,8,26,24.61,2,,24.77,2,18.5,16.65,90,175,22.2,7.6,24.7,0.47,34.1,90
TMS18F1278P0118,2,0,3,184.1666667,9,56,24.63,3,81.88,23.94,1,12.65,22.55,61.66666667,176.6666667,30.1,12.3,16.9,0.64,40.9,68.33333333
TMS18F1350P0082,2,4,3,203.3333333,5,25,,3,78.34,27.28,1,11.25,10.4,62.5,205,13.9,4.5,15.0,0.48,32.7,53.33333333
TMS18F1317P0123,2,,2,180,9,39,21.12,,,,,13.6,20.7,96.66666667,171.6666667,27.6,9.7,18.1,0.60,35.2,86.66666667
TMS18F1369P0015,2,1,3,206.6666667,9,33,15.95,3,67.42,26.27,2,14.05,15.75,100.8333333,226.6666667,21.0,5.8,18.7,0.53,27.4,101.6666667
TMS18F1058P0020,2,7,1,163.3333333,8,22,,3,77.19,24.64,2,5.45,5.4,112.5,167.5,7.2,2.8,7.3,0.50,38.6,158.3333333
TMS18F1085P0012,2,2,3,156,9,34,,2,59.56,22.79,1,17.2,12.5,22.5,173.3333333,16.7,6.6,22.9,0.42,39.5,16.66666667
TMS18F1476P0047,2,0,2,165.8333333,9,40,29.31,4,66.87,25.11,1,12.4,15.2,76.66666667,190,20.3,7.6,16.5,0.55,37.4,88.33333333
IITA-TMS-IBA982101,2,0,2,180.8333333,9,44,,3,82,33.09,1,16.25,19.95,83.33333333,171.6666667,26.6,8.8,21.7,0.55,33.2,50.66666667
TMS18F1076P0110,2,0,2,174.1666667,9,70,23.84,4,82.08,31.04,2,20.75,34.35,111.6666667,178.3333333,45.8,13.1,27.7,0.62,28.5,122.3333333
TMS18F1421P0025,2,9,3,135.8333333,9,22,,3,71.28,22.76,1,13.65,5,60.83333333,125,6.7,2.5,18.2,0.27,37.2,73.33333333
TMS18F1414P0014,2,0,2,140,9,46,30.26,3,72.65,23.93,2,18.9,17,64.16666667,146.6666667,22.7,9.2,25.2,0.47,40.6,60
TMS18F1318P0016,2,0,,120,7,36,19.81,3,75.72,20.76,1,6.55,11.6,71.66666667,120,15.5,3.5,8.7,0.64,22.4,73.33333333
TMS18F1305P0007,2,5,3,131.6666667,9,18,,3,75.58,25.1,1,8.15,10.15,23.33333333,133.3333333,13.5,5.1,10.9,0.55,37.6,26.66666667
TMS18F1350P0038,2,0,1,110,6,31,,,65.74,17.01,2,8.35,10.25,76.25,130,13.7,5.0,11.1,0.55,36.9,81.66666667
TMS18F1317P0059,2,0,2,149.1666667,9,60,24.82,3,79.29,21.68,2,12,30.45,94.16666667,145,40.6,13.3,16.0,0.72,32.8,93.33333333
TMS18F1278P0183,2,4,1,183.3333333,9,24,,3,78.12,24.35,2,12.45,7.5,95.83333333,195,10.0,3.4,16.6,0.38,33.7,101.6666667
TMS18F1485P0020,2,0,2,162.5,9,57,27.79,3,98.97,22.17,2,22.5,23.5,67.5,168.3333333,31.3,10.2,30.0,0.51,32.7,61.66666667
TMS18F1026P0009,2,0,2,181.6666667,9,32,26.69,3,78.33,29.07,1,27.7,25.5,36.66666667,180,34.0,13.2,36.9,0.48,38.9,50
TMS18F1338P0067,2,0,1,183.3333333,7,48,,3,80.76,29.08,1,10.45,21.35,98.33333333,198.3333333,28.5,6.4,13.9,0.67,22.6,101.3333333
TMS18F1175P0016,2,,,,0,,,,,,,,,,,,,,,,
TMS18F1233p0013,2,1,3,140,9,13,,3,78.84,19.95,2,12.05,8.05,44.16666667,155,10.7,3.0,16.1,0.40,27.6,46.66666667
TMS18F1371P0011,2,1,2,171.6666667,9,20,18.98,3,74.67,28.53,1,23.5,10.7,70,170,14.3,4.5,31.3,0.31,31.2,83.33333333
TMS18F1189P0013,2,3,3,165.8333333,9,35,,3,98.94,26.53,1,14.85,13.4,52.5,173.3333333,17.9,6.6,19.8,0.47,37.2,50
TMS18F1278P0098,2,0,1,122.5,9,15,26.56,2,91.11,20.81,2,6.8,6.9,74.5,146.6666667,9.2,3.0,9.1,0.50,32.4,76.66666667
TMS18F1319P0121,2,9,4,210.8333333,9,28,,3,80.17,22.36,2,15.1,7.85,51.66666667,218.3333333,10.5,4.6,20.1,0.34,44.4,36.66666667
TMS18F1076P0077,2,0,2,165,9,47,,3,76.99,25.07,2,11.3,13.55,85.83333333,173.3333333,18.1,6.8,15.1,0.55,37.5,98.33333333
TMS18F1409P0008,2,0,2,441.6666667,9,32,29.99,3,85.7,30.04,1,21.08,18.45,79.16666667,188.3333333,24.6,8.0,28.1,0.47,32.7,98.33333333
TMS18F1366P0012,2,2,3,200,9,14,20.97,2,94.66,24.43,2,16.85,12.95,56.66666667,188.3333333,17.3,5.3,22.5,0.43,30.5,46.66666667
TMS18F1163P0042,2,1,3,145.8333333,9,27,,3,71.82,26.4,2,17.6,25.55,56.66666667,133.3333333,34.1,14.7,23.5,0.59,43.1,50
